algo,p1,p2,mean_run,p3,upper_bound,itiration,real_cost
dsa0.6,0.2,1.0,1,0.5,10,29,6904
dsa0.6,0.2,1.0,1,0.5,10,30,7039
dsa0.6,0.2,1.0,1,0.5,10,31,6907
dsa0.6,0.2,1.0,1,0.5,10,32,6907
dsa0.6,0.2,1.0,1,0.5,10,33,7076
dsa0.6,0.2,1.0,1,0.5,10,34,7172
dsa0.6,0.2,1.0,1,0.5,10,35,6904
dsa0.6,0.2,1.0,1,0.5,10,36,6875
dsa0.6,0.2,1.0,1,0.5,10,37,6767
dsa0.6,0.2,1.0,1,0.5,10,38,6746
dsa0.6,0.2,1.0,1,0.5,10,39,6719
dsa0.6,0.2,1.0,1,0.5,10,40,6710
dsa0.6,0.2,1.0,1,0.5,10,41,6710
dsa0.6,0.2,1.0,1,0.5,10,42,6710
dsa0.6,0.2,1.0,1,0.5,10,43,6710
dsa0.6,0.2,1.0,1,0.5,10,44,6576
dsa0.6,0.2,1.0,1,0.5,10,45,6559
dsa0.6,0.2,1.0,1,0.5,10,46,6559
dsa0.6,0.2,1.0,1,0.5,10,47,6559
dsa0.6,0.2,1.0,1,0.5,10,48,6559
dsa0.6,0.2,1.0,1,0.5,10,49,6559
dsa0.6,0.2,1.0,1,0.5,10,50,6559
dsa0.6,0.2,1.0,1,0.5,10,51,6559
dsa0.6,0.2,1.0,1,0.5,10,52,6559
dsa0.6,0.2,1.0,1,0.5,10,53,6559
dsa0.6,0.2,1.0,1,0.5,10,54,6559
dsa0.6,0.2,1.0,1,0.5,10,55,6559
dsa0.6,0.2,1.0,1,0.5,10,56,6559
dsa0.6,0.2,1.0,1,0.5,10,57,6559
dsa0.6,0.2,1.0,1,0.5,10,58,6559
dsa0.6,0.2,1.0,1,0.5,10,59,6559
dsa0.6,0.2,1.0,1,0.5,10,60,6559
dsa0.6,0.2,1.0,1,0.5,10,61,6559
dsa0.6,0.2,1.0,1,0.5,10,62,6559
dsa0.6,0.2,1.0,1,0.5,10,63,6559
dsa0.6,0.2,1.0,1,0.5,10,64,6559
dsa0.6,0.2,1.0,1,0.5,10,65,6559
dsa0.6,0.2,1.0,1,0.5,10,66,6559
dsa0.6,0.2,1.0,1,0.5,10,67,6559
dsa0.6,0.2,1.0,1,0.5,10,68,6559
dsa0.6,0.2,1.0,1,0.5,10,69,6559
dsa0.6,0.2,1.0,1,0.5,10,70,6559
dsa0.6,0.2,1.0,1,0.5,10,71,6559
dsa0.6,0.2,1.0,1,0.5,10,72,6559
dsa0.6,0.2,1.0,1,0.5,10,73,6559
dsa0.6,0.2,1.0,1,0.5,10,74,6559
dsa0.6,0.2,1.0,1,0.5,10,75,6559
dsa0.6,0.2,1.0,1,0.5,10,76,6559
dsa0.6,0.2,1.0,1,0.5,10,77,6559
dsa0.6,0.2,1.0,1,0.5,10,78,6559
dsa0.6,0.2,1.0,1,0.5,10,79,6559
dsa0.6,0.2,1.0,1,0.5,10,80,6559
dsa0.6,0.2,1.0,1,0.5,10,81,6559
dsa0.6,0.2,1.0,1,0.5,10,82,6559
dsa0.6,0.2,1.0,1,0.5,10,83,6559
dsa0.6,0.2,1.0,1,0.5,10,84,6559
dsa0.6,0.2,1.0,1,0.5,10,85,6559
dsa0.6,0.2,1.0,1,0.5,10,86,6559
dsa0.6,0.2,1.0,1,0.5,10,87,6559
dsa0.6,0.2,1.0,1,0.5,10,88,6559
dsa0.6,0.2,1.0,1,0.5,10,89,6559
dsa0.6,0.2,1.0,1,0.5,10,90,6559
